id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries
110,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874008000,1700874015000,2,18.7,,1073741824.0,,
118,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874008000,1700874019000,2,41.0,,1073741824.0,,
127,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874007000,1700874028000,2,0.2,,1073741824.0,,
122,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874012000,1700874027000,2,26.2,,1073741824.0,,
111,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874009000,1700874019000,2,93.4,,1073741824.0,,
99,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874007000,1700874029000,2,0.2,,1073741824.0,,
96,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874011000,1700874026000,2,0.4,,1073741824.0,,
104,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874012000,1700874027000,2,20.3,,1073741824.0,,
117,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874007000,1700874019000,2,81.4,,1073741824.0,,
95,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874011000,1700874027000,2,0.5,,1073741824.0,,
102,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874012000,1700874027000,2,22.7,,1073741824.0,,
129,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874011000,1700874028000,2,0.3,,1073741824.0,,
125,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874009000,1700874038000,2,0.2,,1073741824.0,,
120,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874012000,1700874029000,2,36.8,,1073741824.0,,
103,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874015000,1700874044000,2,0.2,,1073741824.0,,
115,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700874016000,1700874044000,2,0.4,,1073741824.0,,
19,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874365000,3,183.5,,4294967296.0,,
34,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700874484000,3,257.6,,4294967296.0,,
52,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874491000,3,178.1,,4294967296.0,,
55,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700874502000,3,156.4,,4294967296.0,,
50,NFCORE_SAREK:SAREK:FASTP,1700873875000,1700874544000,3,166.6,,4294967296.0,,
24,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874559000,3,156.0,,4294967296.0,,
32,NFCORE_SAREK:SAREK:FASTP,1700873876000,1700874578000,3,141.9,,4294967296.0,,
38,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874684000,3,163.7,,4294967296.0,,
37,NFCORE_SAREK:SAREK:FASTQC,1700873879000,1700874743000,2,62.7,,1610612736.0,,
42,NFCORE_SAREK:SAREK:FASTP,1700873882000,1700874744000,3,120.5,,4294967296.0,,
68,NFCORE_SAREK:SAREK:FASTP,1700873880000,1700874992000,3,145.3,,4294967296.0,,
71,NFCORE_SAREK:SAREK:FASTP,1700873879000,1700874743000,3,130.7,,4294967296.0,,
20,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700874744000,2,63.9,,1610612736.0,,
78,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874868000,3,123.1,,4294967296.0,,
30,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874992000,3,139.5,,4294967296.0,,
33,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700874962000,2,53.0,,1610612736.0,,
18,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700874820000,3,118.8,,4294967296.0,,
51,NFCORE_SAREK:SAREK:FASTQC,1700873880000,1700874743000,2,68.4,,1610612736.0,,
77,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700874962000,2,45.8,,1610612736.0,,
21,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874992000,3,161.0,,4294967296.0,,
73,NFCORE_SAREK:SAREK:FASTQC,1700873876000,1700875072000,2,63.9,,1610612736.0,,
81,NFCORE_SAREK:SAREK:FASTQC,1700873879000,1700874944000,2,54.9,,1610612736.0,,
83,NFCORE_SAREK:SAREK:FASTP,1700873877000,1700875072000,3,134.0,,4294967296.0,,
87,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700874962000,3,105.9,,4294967296.0,,
74,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700874999000,3,133.6,,4294967296.0,,
28,NFCORE_SAREK:SAREK:FASTQC,1700873879000,1700874832000,2,54.3,,1610612736.0,,
27,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700874868000,3,132.2,,4294967296.0,,
57,NFCORE_SAREK:SAREK:FASTP,1700873880000,1700874992000,3,155.8,,4294967296.0,,
45,NFCORE_SAREK:SAREK:FASTP,1700873875000,1700875065000,3,133.7,,4294967296.0,,
54,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700874962000,3,102.4,,4294967296.0,,
69,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700875091000,3,93.9,,4294967296.0,,
36,NFCORE_SAREK:SAREK:FASTP,1700873876000,1700875072000,3,137.1,,4294967296.0,,
17,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875094000,2,44.4,,1610612736.0,,
49,NFCORE_SAREK:SAREK:FASTQC,1700873882000,1700875097000,2,49.6,,1610612736.0,,
47,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700875097000,3,91.5,,4294967296.0,,
67,NFCORE_SAREK:SAREK:FASTQC,1700873882000,1700875100000,2,48.3,,1610612736.0,,
53,NFCORE_SAREK:SAREK:FASTQC,1700873877000,1700875130000,2,45.9,,1610612736.0,,
88,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700875185000,3,133.4,,4294967296.0,,
85,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875190000,2,45.9,,1610612736.0,,
75,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700875202000,3,101.9,,4294967296.0,,
82,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700875207000,3,79.7,,4294967296.0,,
76,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700875209000,2,49.1,,1610612736.0,,
25,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700875210000,3,94.1,,4294967296.0,,
66,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700875210000,3,98.4,,4294967296.0,,
56,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875210000,2,40.8,,1610612736.0,,
22,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875230000,2,40.7,,1610612736.0,,
39,NFCORE_SAREK:SAREK:FASTP,1700873880000,1700875230000,3,145.6,,4294967296.0,,
43,NFCORE_SAREK:SAREK:FASTQC,1700873879000,1700875227000,2,47.8,,1610612736.0,,
29,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875232000,2,40.8,,1610612736.0,,
70,NFCORE_SAREK:SAREK:FASTQC,1700873880000,1700875227000,2,54.3,,1610612736.0,,
59,NFCORE_SAREK:SAREK:FASTP,1700873881000,1700875230000,3,149.8,,4294967296.0,,
63,NFCORE_SAREK:SAREK:FASTP,1700873879000,1700875227000,3,102.3,,4294967296.0,,
64,NFCORE_SAREK:SAREK:FASTQC,1700873876000,1700875230000,2,52.1,,1610612736.0,,
31,NFCORE_SAREK:SAREK:FASTQC,1700873876000,1700875230000,2,34.3,,1610612736.0,,
41,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875228000,2,41.2,,1610612736.0,,
80,NFCORE_SAREK:SAREK:FASTP,1700873880000,1700875230000,3,139.5,,4294967296.0,,
35,NFCORE_SAREK:SAREK:FASTQC,1700873880000,1700875236000,2,47.4,,1610612736.0,,
26,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875255000,2,44.0,,1610612736.0,,
84,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875255000,2,45.5,,1610612736.0,,
91,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE,1700873933000,1700875255000,1,6.3,,1610612736.0,,
72,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875260000,2,44.4,,1610612736.0,,
65,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875260000,2,46.0,,1610612736.0,,
79,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875265000,2,46.3,,1610612736.0,,
44,NFCORE_SAREK:SAREK:FASTP,1700873883000,1700875269000,3,101.5,,4294967296.0,,
62,NFCORE_SAREK:SAREK:FASTP,1700873884000,1700875269000,3,86.2,,4294967296.0,,
86,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700875269000,2,46.9,,1610612736.0,,
46,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700875280000,2,39.4,,1610612736.0,,
58,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875284000,2,39.9,,1610612736.0,,
48,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875325000,2,46.2,,1610612736.0,,
23,NFCORE_SAREK:SAREK:FASTQC,1700873881000,1700875335000,2,36.7,,1610612736.0,,
60,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875340000,2,51.5,,1610612736.0,,
40,NFCORE_SAREK:SAREK:FASTQC,1700873884000,1700875344000,2,50.1,,1610612736.0,,
61,NFCORE_SAREK:SAREK:FASTQC,1700873883000,1700875510000,2,41.7,,1610612736.0,,
149,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874495000,1700876116000,8,423.9,,15032385536.0,,
151,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874495000,1700876123000,8,420.6,,15032385536.0,,
135,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874371000,1700876144000,8,417.1,,15032385536.0,,
137,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874371000,1700876166000,8,405.0,,15032385536.0,,
146,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874495000,1700876170000,8,413.6,,15032385536.0,,
189,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875068000,1700876172000,8,690.7,,15032385536.0,,
138,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874371000,1700876173000,8,415.3,,15032385536.0,,
212,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874995000,1700876234000,8,686.7,,15032385536.0,,
210,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874977000,1700876251000,8,639.7,,15032385536.0,,
207,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874874000,1700876275000,8,669.6,,15032385536.0,,
204,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875006000,1700876280000,8,686.3,,15032385536.0,,
152,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874548000,1700876284000,8,488.8,,15032385536.0,,
197,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874750000,1700876288000,8,549.4,,15032385536.0,,
201,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874750000,1700876305000,8,541.2,,15032385536.0,,
157,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700874562000,1700876319000,8,488.1,,15032385536.0,,
320,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875101000,1700876345000,8,717.4,,15032385536.0,,
391,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875232000,1700876470000,8,789.9,,15032385536.0,,
387,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875213000,1700876511000,8,770.3,,15032385536.0,,
394,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875232000,1700876511000,8,774.6,,15032385536.0,,
269,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875076000,1700876516000,8,723.7,,15032385536.0,,
399,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875236000,1700876554000,8,792.0,,15032385536.0,,
398,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875236000,1700876563000,8,792.9,,15032385536.0,,
443,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875275000,1700876652000,8,791.8,,15032385536.0,,
332,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700875205000,1700876652000,8,779.4,,15032385536.0,,
196,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876287000,1700877214000,8,811.2,,15032385536.0,,
192,NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM,1700876287000,1700877232000,8,812.9,,15032385536.0,,
458,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES,1700876174000,1700877238000,2,135.2,,25769803776.0,,
